id;nome;hora_encerramento;premiacao_inicio;status;limite_premio;data;codigo;descricao;hora;minuto;disponivel;descricao_completa
1;grey;back-end hack;Assistant;false;82258;2020-06-16T12:10:43;53171;frictionless Maldives;62794;94112;false;transmit Avon
2;3rd generation bluetooth auxiliary;Inlet withdrawal Electronics;Savings Account port multi-byte;false;29756;2020-06-16T07:54:20;56347;Dynamic Plastic web-readiness;26955;46136;false;Savings Account
3;Mouse Metal;Customer payment;Profit-focused XML;true;99450;2020-06-16T12:54:14;39750;integrate Intelligent;91838;78174;true;cyan mission-critical
4;maroon;human-resource Qatari Rial;payment Walk overriding;false;55842;2020-06-15T20:19:31;57961;User-friendly;75833;20611;true;Auto Loan Account Car
5;bypass;Virtual applications;interactive;false;23410;2020-06-15T21:32:25;3602;Credit Card Account;9932;53488;true;firewall
6;Ergonomic;firewall;compress Investor Checking Account;false;87977;2020-06-15T22:23:32;16285;payment HDD;2743;36036;false;Auto Loan Account
7;Zloty driver;Regional;cross-platform instruction set Refined;false;10486;2020-06-16T07:07:37;70142;Crossroad solutions explicit;8469;5370;true;Fresh
8;Tennessee;teal;Pants Berkshire Developer;false;68647;2020-06-16T01:45:49;69086;Swiss Franc Berkshire;48487;21509;false;Auto Loan Account
9;Savings Account Berkshire;wireless;compress;false;41385;2020-06-15T15:23:41;19389;back-end Car;29323;40393;false;Strategist Washington
10;strategy coherent Sausages;Berkshire redefine product;Paradigm responsive;false;57966;2020-06-16T04:34:32;89968;ADP dynamic;16813;24533;false;Investment Account South Carolina encoding
